location,x,y,picture
Wang Klai Kangwon Temple,99.94993856,12.6024757,https://drive.google.com/file/d/15z8hBcTByKb66DqMzSCDEAHjYJRllmL9/view?usp=sharing
Hua Hin Temple,99.95790464,12.57003202,https://drive.google.com/file/d/172svSSClQEYflvCopN5pf8gmnMLER4pJ/view?usp=sharing
Nong Kae Temple,99.9640981,12.53725545,https://drive.google.com/file/d/1d3JdRhr4Qj7QCRqHEBKaGC4SINDp29XE/view?usp=sharing
Khao Sanam Chai Temple,99.96692813,12.52072657,https://drive.google.com/file/d/1pOD-vgbkea1_afkFDq8my8j1sZSDOWRD/view?usp=sharing
Khao Krailas Temple,99.97422627,12.51893633,https://drive.google.com/file/d/1OI8Kut1L6rno4hTPWKZ2OcmnoncwPfD7/view?usp=sharing
Khao Lan Thom Temple,99.97502304,12.51734261,https://drive.google.com/file/d/1TFASAl_E5FADV38iaDeT6thYwG8H6xXN/view?usp=sharing
Khao Tao Temple,99.97578423,12.46211445,https://drive.google.com/file/d/1yH_wrrgTLHT3f_tAVkBCqROVNQAxPtPr/view?usp=sharing
Tham Khao Tao Temple,99.98006781,12.4569727,https://drive.google.com/file/d/1qyJCiGXEIpFRqxt2YCy2he5qjz03At_D/view?usp=sharing
,,,
